bookid	bookabbrev	chapters	verses	records	source_tokens	source_tokens_content	target_tokens	canon_chapters	canon_verses	canon_source_tokens	canon_source_tokens_content	verse_coverage	records_per_chapter	records_per_verse	delta_rpv	source_token_coverage	source_token_content_coverage
40	MAT	28	1068	11785	16265	9127	14118	28	1071	18329	9403	1.00	420.89	11.00	-0.29	0.89	0.97
41	MRK	16	673	7283	10138	5559	8813	16	678	11286	5749	0.99	455.19	10.74	-0.55	0.90	0.97
42	LUK	24	1149	12736	17392	9616	15224	24	1151	19446	9859	1.00	530.67	11.07	-0.23	0.89	0.98
43	JHN	21	878	9945	13609	7429	11886	21	879	15625	7789	1.00	473.57	11.31	0.02	0.87	0.95
44	ACT	28	1001	11262	15849	9162	14964	28	1007	18412	9670	0.99	402.21	11.18	-0.11	0.86	0.95
45	ROM	16	430	4853	6309	3561	6383	16	433	7055	3660	0.99	303.31	11.21	-0.08	0.89	0.97
46	1CO	16	437	4872	6183	3613	6508	16	437	6812	3739	1.00	304.50	11.15	-0.14	0.91	0.97
47	2CO	13	255	3093	4001	2145	4255	13	257	4473	2215	0.99	237.92	12.04	0.74	0.89	0.97
48	GAL	6	149	1632	2019	1166	2196	6	149	2226	1200	1.00	272.00	10.95	-0.34	0.91	0.97
49	EPH	6	155	1577	2131	1173	2023	6	155	2416	1211	1.00	262.83	10.17	-1.12	0.88	0.97
50	PHP	4	104	1141	1455	817	1567	4	104	1626	846	1.00	285.25	10.97	-0.32	0.89	0.97
51	COL	4	95	1040	1435	758	1380	4	95	1580	782	1.00	260.00	10.95	-0.34	0.91	0.97
52	1TH	5	89	972	1309	705	1318	5	89	1473	726	1.00	194.40	10.92	-0.37	0.89	0.97
53	2TH	3	47	546	735	393	723	3	47	820	400	1.00	182.00	11.62	0.32	0.90	0.98
54	1TI	6	113	1200	1481	975	1695	6	113	1591	997	1.00	200.00	10.62	-0.67	0.93	0.98
55	2TI	4	83	898	1142	686	1222	4	83	1235	697	1.00	224.50	10.82	-0.47	0.92	0.98
56	TIT	3	46	504	613	409	680	3	46	659	417	1.00	168.00	10.96	-0.34	0.93	0.98
57	PHM	1	25	235	301	159	320	1	25	334	162	1.00	235.00	9.40	-1.89	0.90	0.98
58	HEB	13	303	3332	4328	2629	5186	13	303	4935	2722	1.00	256.31	11.00	-0.30	0.88	0.97
59	JAS	5	108	1169	1541	947	1715	5	108	1739	982	1.00	233.80	10.82	-0.47	0.89	0.96
60	1PE	5	105	1196	1497	920	1795	5	105	1678	948	1.00	239.20	11.39	0.10	0.89	0.97
61	2PE	3	61	777	1005	628	1164	3	61	1098	643	1.00	259.00	12.74	1.45	0.92	0.98
62	1JN	5	105	1359	1844	957	1810	5	105	2137	1030	1.00	271.80	12.94	1.65	0.86	0.93
63	2JN	1	13	164	218	121	209	1	13	245	126	1.00	164.00	12.62	1.32	0.89	0.96
64	3JN	1	15	144	196	115	244	1	15	219	117	1.00	144.00	9.60	-1.69	0.89	0.98
65	JUD	1	25	318	401	263	507	1	25	459	270	1.00	318.00	12.72	1.43	0.87	0.97
66	REV	22	404	5662	8400	4626	6860	22	405	9833	4850	1.00	257.36	13.98	2.69	0.85	0.95
